GAME,NOTES
Castlevania: Bloodlines,*Listed as Castlevania Series
Choplifter,*Listed as Choplifter Series
Choplifter II,*Listed as Choplifter Series
Choplifter III,*Listed as Choplifter Series
Desert Strike,*Listed as Desert Strike Series
Jungle Strike,*Listed as Desert Strike Series
Urban Strike,*Listed as Desert Strike Series
Donkey Kong,*Listed as Donkey Kong Series
Donkey Kong Jr.,*Listed as Donkey Kong Series
Donkey Kong 3,*Listed as Donkey Kong Series
Donkey Kong (Game Boy),*Listed as Donkey Kong Series
